Unnamed: 0,인구_서울,인구_경기,매매가_서울,매매가_경기,전세가_서울,전세가_경기,매매가지수_서울,매매가지수_경기,전세가지수_서울,전세가지수_경기,거래량_서울,거래량_경기
2021년 10월,9532428,13549577,10964,6095,6313,3803,102.743,106.217,102.085,103.904,11121,29187
2021년 11월,9520880,13557973,11030,6140,6340,3824,103.313,107.132,102.482,104.543,11409,26593
2021년 12월,9509458,13565450,11059,6157,6356,3831,103.584,107.495,102.73,104.798,11568,25669
2022년 01월,9505926,13571450,11062,6154,6357,3827,103.626,107.549,102.769,104.791,9385,20544
2022년 02월,9508451,13574369,11053,6148,6350,3821,103.583,107.511,102.706,104.746,8027,18484
2022년 03월,9506778,13575936,11044,6137,6339,3814,103.574,107.445,102.646,104.683,9131,17025
2022년 04월,9500480,13577808,11050,6132,6336,3809,103.614,107.474,102.61,104.674,9509,29941
2022년 05월,9496887,13581496,11045,6124,6341,3806,103.658,107.409,102.603,104.676,11627,25089
2022년 06월,9494807,13585967,11043,6107,6340,3799,103.654,107.356,102.586,104.676,10043,21550
2022년 07월,9493211,13589362,11031,6090,6334,3791,103.565,107.187,102.51,104.551,9547,15075
2022년 08월,9488454,13590056,10997,6050,6321,3766,103.314,106.701,102.349,104.067,6993,19733
2022년 09월,9450768,13574353,10934,5989,6285,3725,102.831,105.94,101.892,103.254,5224,12946
2022년 10월,9443722,13579508,10825,5901,6211,3657,102.004,104.774,100.91,101.816,5435,14339
2022년 11월,9436836,13583238,10654,5758,6075,3546,100.64,102.771,99.056,99.417,4982,12760
2022년 12월,9428372,13589432,10416,5553,5858,3388,98.664,99.808,96.002,95.864,7199,22002
2023년 01월,9424873,13596091,10341,5479,5750,3304,97.432,97.547,93.168,92.497,6536,12022
2023년 02월,9427583,13600800,10252,5361,5610,3194,96.652,95.769,91.154,89.895,12395,19999
2023년 03월,9426404,13603546,10196,5293,5534,3137,96.124,94.671,89.982,88.495,9324,20732
2023년 04월,9422710,13607919,10166,5255,5500,3110,95.795,94.074,89.425,87.757,7896,20871
2023년 05월,9418885,13612597,10170,5249,5494,3107,95.694,93.849,89.237,87.53,15470,22015
2023년 06월,9414093,13618969,10195,5258,5495,3112,95.74,93.859,89.183,87.481,9787,26735
2023년 07월,9411260,13623055,10223,5278,5504,3122,95.88,94.007,89.288,87.598,10660,21553
2023년 08월,9409466,13624964,10268,5299,5525,3143,96.161,94.311,89.569,87.936,9311,23315
2023년 09월,9407540,13626339,10315,5337,5534,3175,96.471,94.819,89.973,88.614,10377,20647
2023년 10월,9400249,13627840,10349,5368,5562,3213,96.713,95.216,90.338,89.408,9861,18693
2023년 11월,9390925,13628135,10360,5375,5591,3238,96.806,95.31,90.728,89.933,9534,16669
2023년 12월,9386034,13630821,10351,5368,5608,3250,96.739,95.185,90.958,90.195,9177,16677
2024년 01월,9384325,13635250,10397,5423,5672,3301,96.625,94.964,91.104,90.315,9121,22114
2024년 02월,9386705,13639616,10387,5409,5679,3307,96.539,94.769,91.215,90.425,7780,19939
2024년 03월,9384739,13642451,10390,5397,5690,3313,96.537,94.591,91.386,90.547,7991,20663
2024년 04월,9378269,13648156,10408,5394,5703,3323,96.622,94.525,91.546,90.731,10688,25827
2024년 05월,9371930,13654710,10432,5393,5720,3334,96.755,94.449,91.782,90.961,10804,23032
