"시도별(1)","규모별(1)","시점",공장수 (개사)
"대구광역시","중기업","2009.2/2",1
"대구광역시","중기업","2010.1/2",3
"대구광역시","중기업","2010.2/2",15
"대구광역시","중기업","2011.1/2",0
"대구광역시","중기업","2011.2/2",3
"대구광역시","중기업","2012.1/2",13
"대구광역시","중기업","2012.2/2",20
"대구광역시","중기업","2013.1/2",-10
"대구광역시","중기업","2013.2/2",1
"대구광역시","중기업","2014.1/2",-11
"대구광역시","중기업","2014.2/2",15
"대구광역시","중기업","2015.1/2",4
"대구광역시","중기업","2015.2/2",7
"대구광역시","중기업","2016.1/2",4
"대구광역시","중기업","2016.2/2",3
"대구광역시","중기업","2017.1/2",-5
"대구광역시","소기업","2006.1/2",
"대구광역시","소기업","2006.2/2",520
"대구광역시","소기업","2007.1/2",-92
"대구광역시","소기업","2007.2/2",80
"대구광역시","소기업","2008.2/2",
"대구광역시","소기업","2009.1/2",191
"대구광역시","소기업","2009.2/2",155
"대구광역시","소기업","2010.1/2",258
"대구광역시","소기업","2010.2/2",387
"대구광역시","소기업","2011.1/2",0
"대구광역시","소기업","2011.2/2",64
"대구광역시","소기업","2012.1/2",183
"대구광역시","소기업","2012.2/2",107
"대구광역시","소기업","2013.1/2",173
"대구광역시","소기업","2013.2/2",168
"대구광역시","소기업","2014.1/2",120
"대구광역시","소기업","2014.2/2",71
"대구광역시","소기업","2015.1/2",92
"대구광역시","소기업","2015.2/2",189
"대구광역시","소기업","2016.1/2",160
"대구광역시","소기업","2016.2/2",103
"대구광역시","소기업","2017.1/2",167
"인천광역시","대기업","2006.1/2",
"인천광역시","대기업","2006.2/2",32
"인천광역시","대기업","2007.1/2",8
"인천광역시","대기업","2007.2/2",-1
"인천광역시","대기업","2008.2/2",
"인천광역시","대기업","2009.1/2",4
"인천광역시","대기업","2009.2/2",4
"인천광역시","대기업","2010.1/2",4
"인천광역시","대기업","2010.2/2",-20
"인천광역시","대기업","2011.1/2",0
"인천광역시","대기업","2011.2/2",-3
"인천광역시","대기업","2012.1/2",-6
"인천광역시","대기업","2012.2/2",-13
"인천광역시","대기업","2013.1/2",-2
"인천광역시","대기업","2013.2/2",-6
"인천광역시","대기업","2014.1/2",-4
"인천광역시","대기업","2014.2/2",-2
"인천광역시","대기업","2015.1/2",-2
"인천광역시","대기업","2015.2/2",-20
"인천광역시","대기업","2016.1/2",-2
"인천광역시","대기업","2016.2/2",0
"인천광역시","대기업","2017.1/2",-4
"인천광역시","중기업","2006.1/2",
"인천광역시","중기업","2006.2/2",-18
"인천광역시","중기업","2007.1/2",-11
"인천광역시","중기업","2007.2/2",-10
"인천광역시","중기업","2008.2/2",
"인천광역시","중기업","2009.1/2",2
"인천광역시","중기업","2009.2/2",-1
"인천광역시","중기업","2010.1/2",18
"인천광역시","중기업","2010.2/2",42
"인천광역시","중기업","2011.1/2",0
"인천광역시","중기업","2011.2/2",3
"인천광역시","중기업","2012.1/2",5
"인천광역시","중기업","2012.2/2",6
"인천광역시","중기업","2013.1/2",1
"인천광역시","중기업","2013.2/2",-1
"인천광역시","중기업","2014.1/2",-2
"인천광역시","중기업","2014.2/2",8
"인천광역시","중기업","2015.1/2",5
"인천광역시","중기업","2015.2/2",1
"인천광역시","중기업","2016.1/2",-3
"인천광역시","중기업","2016.2/2",1
"인천광역시","중기업","2017.1/2",-24
"인천광역시","소기업","2006.1/2",
"인천광역시","소기업","2006.2/2",190
"인천광역시","소기업","2007.1/2",-15
"인천광역시","소기업","2007.2/2",173
"인천광역시","소기업","2008.2/2",
"인천광역시","소기업","2009.1/2",107
"인천광역시","소기업","2009.2/2",326
"인천광역시","소기업","2010.1/2",227
"인천광역시","소기업","2010.2/2",347
"인천광역시","소기업","2011.1/2",0
"인천광역시","소기업","2011.2/2",167
"인천광역시","소기업","2012.1/2",69
"인천광역시","소기업","2012.2/2",-57
"인천광역시","소기업","2013.1/2",-58
"인천광역시","소기업","2013.2/2",264
"인천광역시","소기업","2014.1/2",126
"인천광역시","소기업","2014.2/2",449
"인천광역시","소기업","2015.1/2",243
"인천광역시","소기업","2015.2/2",713
"인천광역시","소기업","2016.1/2",-51
"인천광역시","소기업","2016.2/2",-60
"인천광역시","소기업","2017.1/2",-30
"광주광역시","대기업","2006.1/2",
"광주광역시","대기업","2006.2/2",1
"광주광역시","대기업","2007.1/2",-3
"광주광역시","대기업","2007.2/2",2
