city,year,month,pop_sum,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_90_99,pop_100_
대전광역시,2008,08,1479584,167141,223146,228145,262456,259107,171305,96202,53098,16949,1982,53
울산광역시,2008,08,1108356,125073,177335,160255,194835,216516,132044,61678,29999,9557,1049,15
경기도,2008,08,11228502,1338327,1627753,1583578,2131444,2067238,1194696,729670,414209,126467,14728,392
강원도,2008,08,1506605,150276,198303,197315,227612,258648,193887,151297,94005,31121,4023,118
충청북도,2008,08,1515328,159951,211471,211748,240777,256400,181998,130803,90954,27728,3412,86
충청남도,2008,08,2010963,214417,261639,273451,318149,323380,240649,186302,143907,43714,5220,135
전라북도,2008,08,1854736,189401,257918,246542,275841,296255,229899,182802,129222,41798,4889,169
전라남도,2008,08,1921855,189032,252447,235207,264182,303066,239671,219944,161636,50436,6008,226
경상북도,2008,08,2674287,258127,340487,358581,405780,442325,348628,262683,189086,61252,7179,159
경상남도,2008,08,3211831,349266,453780,432696,537023,560560,389090,256924,174222,53269,4881,120
제주특별자치도,2008,08,560372,67457,81741,73665,93132,94373,62483,46487,29552,9512,1913,57
전국,2008,09,49469003,5133513,6831827,7250013,8515206,8645916,6051243,3941152,2302274,712598,82970,2291
서울특별시,2008,09,10198705,936362,1279100,1712220,1896435,1720596,1327451,820466,375118,116092,14462,403
부산광역시,2008,09,3570292,298854,469065,551752,553467,628355,536164,324990,158448,44838,4244,115
대구광역시,2008,09,2493335,246022,369257,365367,411446,455862,317545,190840,104614,29275,3028,79
인천광역시,2008,09,2689531,284356,396638,402479,472274,510802,314148,177441,96843,30919,3542,89
광주광역시,2008,09,1420770,167122,228501,217390,244655,240061,153666,98016,52428,16771,2095,65
대전광역시,2008,09,1479824,166562,223135,227805,261517,259925,172084,96465,53261,17039,1978,53
울산광역시,2008,09,1109295,124715,177428,160355,194173,217023,132760,62024,30130,9623,1050,14
경기도,2008,09,11244759,1335650,1629972,1584397,2126341,2074091,1203275,732003,416398,127394,14835,403
강원도,2008,09,1507200,149766,198405,197042,226965,258871,194928,151354,94492,31220,4040,117
