city,year,inc_rate
광주광역시,2020,-0.004398311531732979
광주광역시,2021,-0.0058280266636875355
광주광역시,2022,-0.00732583200322412
광주광역시,2023,-0.00825477796023899
대구광역시,2008,
대구광역시,2009,-0.0011806361233734908
대구광역시,2010,0.008793946134218134
대구광역시,2011,-0.0017538090103977888
대구광역시,2012,-0.0006489127022966112
대구광역시,2013,-0.0016187455201137624
대구광역시,2014,-0.003327486380651057
대구광역시,2015,-0.0021798734510264373
대구광역시,2016,-0.0013152029339636995
대구광역시,2017,-0.0037535866554883057
대구광역시,2018,-0.005438684308656461
대구광역시,2019,-0.00964265940468012
대구광역시,2020,-0.008074138515876128
대구광역시,2021,-0.013618398690675382
대구광역시,2022,-0.009105764538788308
대구광역시,2023,0.004767543642548944
대전광역시,2008,
대전광역시,2009,0.002218253150966243
대전광역시,2010,0.013127787734641405
대전광역시,2011,0.007939938709711658
대전광역시,2012,0.005925034458232226
대전광역시,2013,0.005396885574612931
대전광역시,2014,-0.0006537009455177545
대전광역시,2015,-0.00850889373283481
대전광역시,2016,-0.002900363780020121
대전광역시,2017,-0.008018515950527272
대전광역시,2018,-0.008181852676060308
대전광역시,2019,-0.010111843730200465
대전광역시,2020,-0.007450148148650415
대전광역시,2021,-0.00794531253202102
대전광역시,2022,-0.004254774140282858
대전광역시,2023,-0.0026665338931948224
부산광역시,2008,
부산광역시,2009,-0.006044756502665005
부산광역시,2010,0.007022238027902583
부산광역시,2011,-0.004749839541916656
부산광역시,2012,-0.003514257963262324
부산광역시,2013,-0.00306600227668119
부산광역시,2014,-0.0023341417125071207
부산광역시,2015,-0.0015979992049783842
부산광역시,2016,-0.004339489956249332
부산광역시,2017,-0.007967920231617298
부산광역시,2018,-0.008413402319390584
부산광역시,2019,-0.008023355251401076
부산광역시,2020,-0.0064135968839790225
부산광역시,2021,-0.012254322444991805
부산광역시,2022,-0.00972068839952478
부산광역시,2023,-0.0073693144759257034
서울특별시,2008,
