,시도별,경제활동별,항목,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
62,서울특별시,1차 산업,명목,0.15009648555902455,-0.019208433665807267,-0.0028384389594408033,0.08904727608196028,-0.1764173708859137,-0.11935615570096791,0.002054187520170503,-0.0656861542236673,0.03774286918030456,0.05393307005657455,-0.07726499574766121,0.05433312279236957,-0.059094859282037615,-0.30395135947533813
63,서울특별시,1차 산업,실질,-0.12183611867775901,-0.05886436230413894,-0.05301640126991369,0.15729766339315954,-0.135620580346257,-0.03891876033197739,-0.23443875005136694,-0.00462906161176202,0.016060069900080354,0.14448766260517054,-0.0451002128806014,-0.09731206046071694,0.12818509276670742,-0.14670878286164557
68,서울특별시,2차 산업,명목,0.10644397943575479,0.03231133751107951,0.030102469069313686,0.11185321442267426,-0.04338639494795016,0.012790867940035033,0.0036601825442579283,0.019453303611808526,-0.052338280372832946,0.009379400320024489,0.0032154198398701705,-0.061135732182921676,0.024445441972890558,-0.08142824587510367
69,서울특별시,2차 산업,실질,-0.028946796948059017,0.0944007645102618,0.011579673843998828,0.11577345039647513,-0.05092358057752988,0.014037189227758207,-0.022000980017144123,-0.03622445838952515,-0.043183534488130504,-0.017893463285755806,0.00779603306050114,-0.06840656171334725,0.05252721183956699,-0.037980800268801906
88,서울특별시,3차 산업,명목,0.040430790748344325,0.0722313189488788,0.04518893264098245,0.02489852215384669,0.024894498848224256,0.026107447240629744,0.05646015961548434,0.044641129410685876,0.043555858849140705,0.04879658676567522,0.035507686872100264,0.008761361891432617,0.06244535258576178,0.04996522615870824
89,서울특별시,3차 산업,실질,0.02150365054939596,0.0380400589474299,0.03128900076139507,0.015258269752612907,0.02289462077687232,0.013056813947631918,0.030462441417612895,0.030136570774990545,0.02330058527066381,0.03746305447904663,0.03275783361041662,0.0010322800450177638,0.03392583015972628,0.03524763721464108
112,부산광역시,총생산,명목,-0.0026420807372182775,0.049546507052971034,0.024736619233589163,0.03901120336227182,0.03040127861355768,0.05787671747142498,0.06625597258531468,0.03427810986299318,0.026880420473410993,0.024412595526044134,0.03369906095468256,-0.018552934179534075,0.0714171975028155,0.06636533450416926
113,부산광역시,총생산,실질,-0.03458653909617948,0.053148789565331755,0.025345332119733888,0.02642476157735918,0.016601219800655098,0.04231513823350186,0.03043820740887848,0.01708594222907478,0.01578138759141856,0.016946015315610463,0.025497757937849475,-0.03526906323897061,0.019387662620078627,0.02572695841260897
118,부산광역시,1차 산업,명목,0.2660660685891687,0.000562422231439319,0.25089663383016436,-0.12319161402011125,-0.16453906927944895,-0.05248729255974627,0.017105818499187464,-0.05607983777085135,0.018678649647015266,-0.17400015231310884,-0.15423750050236762,0.22242875711031296,0.007628106921546696,-0.2842924119401088
119,부산광역시,1차 산업,실질,-0.029277527787124336,-0.05254868908740229,0.16898699492821945,-0.08233622747259317,-0.11989392322736037,0.04190798380535554,-0.17811474726773846,-0.0427297307446769,-0.00223607016552807,-0.1318876392566687,-0.1132646729801583,0.05899222885920263,0.16590020666687577,-0.15748792070688689
124,부산광역시,2차 산업,명목,0.0015442208703790872,0.08876063322978456,0.03376999687147464,0.016444484004266124,0.014161858154822626,0.04480058183943303,0.09248663814782732,0.013895632664403523,-0.027720313701803168,-0.007695013120543326,0.0377142347192585,-0.035091780389723715,0.027591047805864966,0.08603084217774093
125,부산광역시,2차 산업,실질,-0.13174307213632708,0.17991401500432969,0.003867915697929769,0.013077148637171021,0.003601003293362215,0.04766795897833265,0.06392551745102493,-0.021206491546223227,-0.0206653257522057,-0.009198445978737091,0.03360679235297814,-0.05164086808917723,0.012120554484357005,0.03455684887997568
144,부산광역시,3차 산업,명목,-0.002364622515540704,0.046311515516059165,0.018012718886806445,0.047139755148581486,0.03758756633870464,0.05099431038870361,0.05736637787490628,0.02691615419134008,0.04479396431113147,0.036004326181913404,0.03635715584848431,-0.025571765776034816,0.09737975273387689,0.08563745851619364
145,부산광역시,3차 산업,실질,-0.0013675819034875136,0.030473947653812727,0.025537363481525466,0.03350062152661093,0.026002492221418594,0.033188004771578905,0.02723626597975759,0.019162931389584914,0.02657160150186333,0.028213861222764036,0.02893380439517035,-0.037818812541310365,0.02709425816554689,0.03029962498529737
