city,year,population_growth,total_gdp_growth,primary_industry_growth,secondary_industry_growth,tertiary_industry_growth
대구광역시,2015,-0.0021798734510264,0.0296537912686722,-0.0050458778323236,0.0231191704853759,0.0203843063464685
대구광역시,2016,-0.0013152029339636,3.645169090593648e-05,0.0361462341946123,-0.0255334427970242,0.0019460458579203
대구광역시,2017,-0.0037535866554883,0.0173146360148643,0.0246053853296193,0.034390552141728,0.0264022122289682
대구광역시,2018,-0.0054386843086564,0.0235915849737451,-0.1479254320668004,0.0397624492520984,0.0304278166205127
대구광역시,2019,-0.0096426594046801,0.014773392624118,-0.0323617220082499,-0.0521906279480551,0.0306593080315049
대구광역시,2020,-0.0080741385158761,-0.0199710614451341,-0.1476169167118082,-0.084194639049706,-0.0225135148783965
대구광역시,2021,-0.0136183986906753,0.0437664855544801,-0.0122036583344078,0.0959585175101589,0.0269987657659664
대구광역시,2022,-0.0091057645387883,0.01747481883417,-0.0246249382278622,0.0368327037109266,0.0139788492336256
인천광역시,2009,0.0066412992777498,-0.0137538670413813,-0.0595355708416047,-0.1532367370063818,0.0262888039772273
인천광역시,2010,0.017603987930254,0.0973521615998946,-0.158143279303337,0.2334258916983598,0.0475718468684853
인천광역시,2011,0.0155813589259454,0.0178322298499298,-0.029920659910514,0.0187889848148183,0.0285809108880625
인천광역시,2012,0.0152455632687127,0.0367594614464574,-0.0171669004207574,0.0178299006510613,0.0591235270642485
인천광역시,2013,0.0125883400768147,0.0265724627163832,0.0041261324439587,0.0064864472951597,0.0456842449303747
인천광역시,2014,0.007926294420897,0.0482343991152514,0.099318656152803,0.0353624823118301,0.045810951258516
인천광역시,2015,0.0079952236058056,0.0183408591539295,-0.0777836875503253,0.0638692921540768,0.0093207767559511
인천광역시,2016,0.0058971602784181,0.0264496127443747,-0.000785007950208,0.0217405727790063,0.0184969887929737
인천광역시,2017,0.0018596234067227,0.042968333242723,0.0182296990175683,0.0509944211644148,0.0352022232603617
인천광역시,2018,0.00206881909771,0.0074047141442101,0.0138447669772587,-0.0142205856044999,0.0461093035363939
인천광역시,2019,0.0008068659417959,0.0177811460735715,0.1019499277804525,-0.0305532053767061,0.0438945854101264
인천광역시,2020,-0.0048014457769394,-0.0347422597892289,-0.0485685593981782,0.0194574797063737,-0.078796969621865
인천광역시,2021,0.001884921578835,0.063814828033115,0.0368304687413201,0.0896207228607504,0.0363782113336617
