city,year,primary_industry_growth,population_growth
대구광역시,2019,0.014773392624118,-0.0096426594046801
대구광역시,2020,-0.0199710614451341,-0.0080741385158761
대구광역시,2021,0.0437664855544801,-0.0136183986906753
대구광역시,2022,0.01747481883417,-0.0091057645387883
인천광역시,2009,-0.0137538670413813,0.0066412992777498
인천광역시,2010,0.0973521615998946,0.017603987930254
인천광역시,2011,0.0178322298499298,0.0155813589259454
인천광역시,2012,0.0367594614464574,0.0152455632687127
인천광역시,2013,0.0265724627163832,0.0125883400768147
인천광역시,2014,0.0482343991152514,0.007926294420897
인천광역시,2015,0.0183408591539295,0.0079952236058056
인천광역시,2016,0.0264496127443747,0.0058971602784181
인천광역시,2017,0.042968333242723,0.0018596234067227
인천광역시,2018,0.0074047141442101,0.00206881909771
인천광역시,2019,0.0177811460735715,0.0008068659417959
인천광역시,2020,-0.0347422597892289,-0.0048014457769394
인천광역시,2021,0.063814828033115,0.001884921578835
인천광역시,2022,0.059636716153802,0.006423538389791
광주광역시,2009,-0.0219709069120641,0.0076881876879346
광주광역시,2010,0.1205721005210773,0.0146452386931168
광주광역시,2011,0.0181876378524787,0.0060688722127046
광주광역시,2012,0.0205855276898425,0.0039304007478147
광주광역시,2013,0.0382052791420055,0.0025142661119943
광주광역시,2014,0.0398724443564602,0.0020191321940918
광주광역시,2015,0.0197842706181046,-0.002496808692282
광주광역시,2016,0.031219819530099,-0.0020275791520032
광주광역시,2017,0.0125552611657624,-0.0037053826059375
광주광역시,2018,0.0503361365693677,-0.0030291644179072
광주광역시,2019,0.0368419552849446,-0.001965277359018
광주광역시,2020,-0.0023569030027029,-0.0043983115317329
광주광역시,2021,0.0436748535477871,-0.0058280266636875
광주광역시,2022,0.0165416228469754,-0.0073258320032241
대전광역시,2009,0.0262502425791426,0.0022182531509662
대전광역시,2010,0.0701547541281206,0.0131277877346414
대전광역시,2011,0.0360485570444213,0.0079399387097116
대전광역시,2012,0.0154087022741737,0.0059250344582322
대전광역시,2013,0.0113859252217851,0.0053968855746129
대전광역시,2014,0.019962506784716,-0.0006537009455177
대전광역시,2015,0.0299588294881192,-0.0085088937328348
대전광역시,2016,0.034818406477004,-0.0029003637800201
대전광역시,2017,0.0082151920152393,-0.0080185159505272
대전광역시,2018,0.0093686025025221,-0.0081818526760603
대전광역시,2019,0.0395639237996563,-0.0101118437302004
